entity_name,sector,sector_main,entity_type,legal_form,company_status,capital_dhs,activity,phone,address,city,region,latitude,longitude,source_dataset
CROSCO INTEGRATED DRILLING & WELL SERVICE COMPANY,Etudes enquetes et recherches et prospections petrolier,Other,100 000  DHS,100 000  DHS,En activité,2.0,,,"355, bd med v espace youssra 9ème étage bureau 117. - Casablanca",Casablanca,Casablanca-Settat,33.590214,-7.591511,
AGRICOLE AIT MATIN,La commercialisation de tout produit agricole l'elevage de betail et volaille,Information Technology,100 000  DHS,100 000  DHS,En activité,0.0,,,Rue sebaa ayoune n° 17 bis khalil ii la villette - Casablanca,Casablanca,9,33.59365,-7.57787,
RESTAURANT WORLD,"Restaurateur à la carte. maître d'hôtel. et plus généralement, toutes opérations commerciales, industrielles, financières, mobilières ou immobilières se rattachant directement ou indirectement aux objets précités ou pouvant favoriser le développement de la société",Information Technology,20 000  DHS,20 000  DHS,En activité,0.0,,,"70, avenue nabeul, corniche - El-Jadida",Casablanca,10,33.249039,-8.497438,
ECODEAL IMPORT EXPORT,Import-export,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,17 rue neuf brisach casablanca - Casablanca,Casablanca,9,33.586848,-7.615307,
FOUSATHERM,- commerce de fournitures industrielles,Commerce,100 000  DHS,100 000  DHS,En activité,1.0,,,"6, bd moad ibnou jabal, hay mansour kataffa rue 8 sidi bernoussi - Sidi Bernoussi (AR)",Casablanca,10,33.61057,-7.51239,
NORD DU MAROC (STE DES TRAVAUX ELECTRONIQUES DU) (SOTRANORD),Tous travaux d'electricite de basse et haute tension,Construction,10 000  DHS,10 000  DHS,En activité,0.0,,,Derb el mostaqbal rue 42 n24 - Casablanca,Casablanca,9,33.586466,-7.560805,
LINGE PALACE TRADING,Md linger vendant en detail des articles de qualite fine ou de luxe ( vente de linge de maison ),Commerce,100 000  DHS,100 000  DHS,En activité,0.0,,,"93, bd. al massira el khadra i - Casablanca",Casablanca,10,33.58722,-7.64095,
ALUFA PUB,Graveur marchand importateur en demi-gros,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,Rue 78 n° 109 hay el yousofia el fida - Casablanca,Casablanca,9,33.5726111365,-7.58857738209,
TSP MARD,Transport de marchandise,Transport,20 000  DHS,20 000  DHS,En activité,3.0,,,195 lot lafarge bouskoura - Bouskoura,Casablanca,Casablanca-Settat,33.449332,-7.648521,
SERBOUTI DECO,Entrepreneur de peinture en batiments.,Other,100 000  DHS,100 000  DHS,En activité,1.0,,,Dr ait abdsslam old fennane oued-zem-oulad fennane - Oulad Fennane,Casablanca,10,32.8833333,-6.899999999999977,
DISTRISAM,"Achat, vente et distribution de tous matériels électriques et industriels et de tous types de produits ; importation et exportation de tous matériels électriques et industriels et de tous types de produits. fournitures et travaux d'installations électriques et travaux de toutes professions.",Construction,100 000  DHS,100 000  DHS,En activité,0.0,,,26 av mers sultane appt 3 1 ere etage -20400 - Casablanca,Casablanca,10,33.58694440000001,-7.611111100000016,
CASABLANCA (ATELIER UNION NATIONALE INDUSTRIELLE DE) (ATELIER UNIC),"Mecanique generale, electricite",Information Technology,10 000  DHS,10 000  DHS,En activité,0.0,,,94 rue de ronceveaux - Casablanca,Casablanca,9,33.58556,-7.62084,
GEGA CONNECT,"Fourniture, distribution et installation des systèmes de sécurité et de tout matériel informatique et industriel.",Commerce,15 000  DHS,15 000  DHS,En activité,3.0,,,"Rue soumaya résidence shéherazade 3, 5ème étage n°22 palmiers. - Casablanca",Casablanca,Casablanca-Settat,33.577265,-7.62646,
NEDIS,"Transformation , conditionnement , distribution produits alimentaire et agro alimentaire",Commerce,1 000 000  DHS,1 000 000  DHS,En activité,0.0,,,6 angle ruebougainville et aitourir residence ibtikar a n 5 2eme etage - Casablanca,Casablanca,10,33.597375,-7.635646,
INSTITUTION PRIVEE LE CEDRE,"Jardin d'enfant, maternelle primaire",Other,10 000  DHS,10 000  DHS,Radiation,0.0,,,20 rue claude lorrain palmier - Casablanca,Casablanca,9,33.58694440000001,-7.611111100000016,
PROXI SERVICES,Tenant un bureau d'etudes - marchand effectuant importation et exportation,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,Rue kadi iyass maarif n° 54 - Casablanca,Casablanca,10,33.585992,-7.635093,
CASABLANCAISE DE PLOMBERIE ET DE MAINTENANCE (STE) (SOCAPLAM),Entreprise de travaux divers ou construction,Construction,100 000  DHS,100 000  DHS,En activité,3.0,,,Jamila 5 bd dakhla rue 28 n22 - Casablanca,Casablanca,10,33.5426318096,-7.57408379872,
STE RAFIDAINE IMMOBILIERE,Promoteur a la construction d'immeubles,Construction,300 000  DHS,300 000  DHS,En activité,0.0,,,11 rue ain oulmes nb 29 bourgogne - Casablanca,Casablanca,9,33.59643,-7.64312,
ELAMPAY ENTREPRISE,"Entreprise de service de telecom à valeur ajoutée, - fournisseur de services de paiements mobiles, - ingénierie dans le domaine de télécommunication.",Professional Services,300 000  DHS,300 000  DHS,En activité,3.0,,,"4, avenue hassan souktani, entrée b, apt n° 9 - Casablanca",Casablanca,Casablanca-Settat,33.59261,-7.62977,
BIO STAR,"Désinsectisation, dératisation et nettoyage",Other,10 000  DH,10 000  DH,En activité,0.0,,,"12, rue sabri boujemaâ, 1er étage, appt n°6, derb omar - Casablanca",Casablanca,10,33.590902,-7.606367,
DOUZE - TELECOMS,Informatique - telecoms - rfid généralement toutes opérations se rapportant directement ou indirectement aux activités sus énoncées ou susceptible d'en favoriser le développement.,Information Technology,100 000  DH,100 000  DH,En activité,3.0,,,144 rue med smiha residence jawharate med smiha 6ème etg appt 35 - Casablanca,Casablanca,Casablanca-Settat,33.590177,-7.608408,
ZAHRA BOIS,Md de bois de menuiserie - md effect importation exportation,Other,0  DHS,0  DHS,En activité,0.0,,,Hay laalou rue 16 n° 11 c/d - Casablanca,Casablanca,10,33.5522731679,-7.57461560503,
ATLAS FOURNITURES AGRICOLES INDUSTRIELLES,Fourniture industrielle et agricole,Information Technology,100 000  DHS,100 000  DHS,En activité,0.0,,,337 bd brahim roudani - Casablanca,Casablanca,10,33.56937,-7.64391,
BMCE CAPITAL CONSEIL,- conseils et ingénierie,Professional Services,11 900 000  DHS,11 900 000  DHS,En activité,3.0,,,"63, boulevard moulay youssef 20000 - Casablanca",Casablanca,Casablanca-Settat,33.59529,-7.63021,
AWLOZ TRAITEUR,"Traiteur, négoce, travaux divers ou construction",Construction,300 000  DHS,300 000  DHS,En activité,3.0,,,"111, secteur 3 hay my rachid - Ben Guerir (M)",Casablanca,Casablanca-Settat,32.239464,-7.958947,
GECC-MAROC (STE),"Entrepreneur d'installation electriques, sanitaires pour le chauffage isothermique",Information Technology,200 000  DHS,200 000  DHS,En activité,3.0,,,332 bd roudani n12 - Casablanca,Casablanca,10,33.58224,-7.633005,
SOCIETE SETCON,Import - export et travaux divers,Construction,100 000  DHS,100 000  DHS,En activité,3.0,,,Rue pasteur imm nakhil appt 16 etage 4 - Settat (M),Casablanca,Casablanca-Settat,32.99728,-7.619077,
STE MTF (MTF),"Construction metallique, charpente metallique, fabrication de materiel agricole divers d'elevage et materiel avicole...",Construction,500 000 000  DHS,500 000 000  DHS,En activité,0.0,,,30 rue cherif idrissi - Casablanca,Casablanca,9,33.583,-7.64262,
C J PRECISION,Construction reparation mecaniques de precision,Construction,100 000  DHS,100 000  DHS,En activité,0.0,,,Rue des cigales n15 - Casablanca,Casablanca,9,33.55586,-7.63534,
RIHAM CLIM,Travaux divers ou constructions,Construction,100 000  DHS,100 000  DHS,En activité,3.0,,,39 av lalla yacout 5éme etage appt. d - Casablanca,Casablanca,Casablanca-Settat,33.5913,-7.61409,
NAJAD MEDICAL,Vente de materiel et produits paramedicaux et parapharmaceutique,Commerce,100 000  DHS,100 000  DHS,En activité,0.0,,,77 rue mohamed smiha 10eme étage apt n° 57 - Casablanca,Casablanca,10,33.58694440000001,-7.611111100000016,
TRANSMED&FILS,Transport de marchandises international. courtier en toute opération.,Transport,100 000  DHS,100 000  DHS,En activité,0.0,,,Nr 612 essaada bd oued el makhazine el alia - Mohammedia (M),Casablanca,10,33.6833333,-7.383333300000004,
GENERALE POUR LA PROMOTION IMMOBILIERE (CIE) (COGEPI),"Promotion immobiliere, travaux de construction et de batiments",Construction,50 000  DHS,50 000  DHS,En activité,0.0,,,26 boulevard la resistance - Casablanca,Casablanca,9,33.58911,-7.603885,
JABOTHERM,Chauferie a vapeur,Other,60 000  DHS,60 000  DHS,En activité,0.0,,,N°5 rue de la gare sidi maarouf - Casablanca,Casablanca,9,33.52482,-7.65048,
EL AISSAOUI ET FILS,Exploitation et gerance de garages et parkings gestion de garage (parking) et reparations mecaniques,Information Technology,100 000  DHS,100 000  DHS,Liquidation,2.0,,,"64-68, rue ahmed faris - Casablanca",Casablanca,Casablanca-Settat,33.59366,-7.60699,
WORLDWIDE TRIPS AND TOURISM AGENCY,"Agence de voyage et tourisme et plus généralement toutes opérations commerciales, mobilières, immobilières, industrielles ou financières pouvant favoriser le développement de la société.",Tourism & Hospitality,250 000  DHS,250 000  DHS,En activité,1.0,,,"Bd hassan sghir, imm 97b appt 126 4ème etg - Casablanca",Casablanca,Casablanca-Settat,33.593197,-7.610775,
PARTSIPIA MAROC,Import export negoce.,Other,10 000  DHS,10 000  DHS,En activité,0.0,,,Hay mers rue 12 n° 18 hay hassani - Casablanca,Settat,10,33.533333,-7.583333,
TOUS TRAVAUX ELECTRIQUES ET INDUSTRIELS (ESE DE) (ETEI),"Travaux electriques, fabrication, importation d'appareillage electrique de tous genres",Construction,40 000  DHS,40 000  DHS,En activité,0.0,,,8 rue daoud dahir - Casablanca,Casablanca,10,33.533333,-7.583333,
GENERALE MAROCAINE DE PARTICIPATION (STE) (GEMAPAR),Negoce en general achat vente marchandises denrees fabrication transport acquisition creation exploitation etc...,Transport,8 000  DHS,8 000  DHS,En activité,0.0,,,194 bd moulay ismael - Casablanca,Casablanca,9,33.59822,-7.58306,
INFORMATIQUE DE GESTION COMPTABILITE ETUDE ET LOGICIELS (IGCEL),La formation professionnelle - l'etude de logiciels - l'enseignement.,Information Technology,100 000  DHS,100 000  DHS,Radiation,2.0,,,"557 av mohamed vi, 1er etage, n° 103 - Casablanca",Casablanca,10,33.58694440000001,-7.611111100000016,
TRANSFERT PRESS,Conception et impression de tous travaux publicitaires,Construction,100 000  DHS,100 000  DHS,En activité,0.0,,,3 rue ait ourir bd moulay youssef 2eme etage - Casablanca,Casablanca,9,33.58694440000001,-7.611111100000016,
BARIMPEX,Marchand effectuant import-export,Other,500 000  DHS,500 000  DHS,En activité,0.0,,,185 bd zerktouni 14eme etage n8 - Casablanca,Casablanca,9,33.586475,-7.631245,
SPACE PROD,"Agence de communication et événementiel organisation d'événements. promotion d'événements. conception et réalisation de travaux publicitaires. communication événementielle. séminaires. réceptions. soirées. foires. conception. réalisation de site web ou s y rattachant. i'achat. la vente. l'importation, la location, la consignation, et la représentation de tous matériels, appareils et outillage ayant un lien direct ou indirect avec l'activité de la société, la création, l'acquisition l'exploitation de tout brevet marque licence ou procède. la prise de participation ou d'insert dans toutes entreprise ou société dont l'objet et similaire ou connexe.et plus généralement toutes opérations commerciales. industrielles, financières, mobilières ou immobilières pouvant être rattaches directement ou indirectement ou a l'objet social de la société ou susceptibles d'en favoriser la réalisation.",Construction,10 000  DHS,10 000  DHS,En activité,3.0,,,95 rue ibn majat angle rue ibn assakir chantimar - Casablanca,Casablanca,Casablanca-Settat,33.578339,-7.647644,
BELMAHFOUD (CYCLES),L'achat la vente et l'importation des pieces detachees,Commerce,3 740 000  DHS,3 740 000  DHS,En activité,3.0,,,294bis bd el fida - Casablanca,Casablanca,10,33.5686,-7.603785,
SAHARA NEGOCE,Md effectuant import-export,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,Rue maarakat ouhoud no 9 - Casablanca,Casablanca,10,33.59465,-7.6182,
T.H TRANSPORT,Entrepreneur de transport de voyageurs,Transport,100 000  DHS,100 000  DHS,En activité,0.0,,,Av mohamed vi ben msik n1613 - Casablanca,Casablanca,9,33.54512,-7.58254,
SOCATRAM,"Entrepreneur en alluminium, achat et vente sous toutes formes d'alumimium, inox; vitrerie, ferronnerie",Commerce,250 000  DHS,250 000  DHS,Dissolution,3.0,,,Dr harte hamri route my thami old azzouz - Casablanca,Casablanca,10,33.56265,-7.669946,
ROMARYO AGRICOLE,Travaux d'installation de l' equipement de parcelle,Construction,10 000  DHS,10 000  DHS,En activité,0.0,,,105 angle mostafa maani et 11 janvier etg 3 apt16 co ca amine - Casablanca,Casablanca,9,33.58694440000001,-7.611111100000016,
DI.AMEC,"La réalisation de tous travaux publics ou privés dans le domaine du bâtiment et des travaux publics ; les travaux tous corps d'état, terrassement, vrd, etc.",Construction,100 000  DH,100 000  DH,En activité,3.0,,,"Bd bnou sina residence kasbah 3, im b5, h.h - Hay-Hassani (AR)",Casablanca,Casablanca-Settat,33.571101,-7.670583,
INSTITUT SUPERIEUR D'INGENIERIE ET DES AFFAIRES (PRIVE) EL JADIDA (ISGA-ELJADIDA),"- l'enseignement maternel, primaire, secondaire (collège - lycée), - l'enseignement en classes préparatoires aux concours des grandes ecoles d'ingénieurs et de commerce. - l'exploitation d'établissements d'enseignement dispensant des cours du jour, du soir ou par correspondance, dans toutes les disciplines. - l'acquisition de tous biens immeubles, la mise en valeur de tous terrains par l'édification de constructions nouvelles, et principalement la construction de locaux destinés aux établissements de l'enseignement sous toutes ses formes. - la gestion d'internats ou de tous autres centres d'hébergement pour étudiant filles et garçons y compris toutes sujétions. - l'importation et l'achat de matières premières, matériels, machines, fournitures, produits et matériaux se rapportant aux objets ci - dessus. - la création, l'acquisition, la cession, la concession et l'exploitation de tous brevets, licences, marques de fabriques, exclusivités, procédés, dessins et modèles entrant dans l'objet social. - la prise de participation directe ou indirecte dans toutes entreprises ayant un objet similaire ou analogue, par voie de création de sociétés, de participation à leur constitution ou à l'augmentation de capital de sociétés existantes ou encore par voie de commandite, d'achat de titres ou droits sociaux ou autrement.",Construction,20 000  DHS,20 000  DHS,Liquidation,3.0,,,277 boulevard bir anzarane - Casablanca,Casablanca,Casablanca-Settat,33.5844,-7.64323,
STE VIMIAL,Vitrerie meroitrerie aluminium,Information Technology,100 000  DHS,100 000  DHS,En activité,0.0,,,17 place pasteur bureau n° 5 quartier des hopitaux - Casablanca,Casablanca,9,33.573825,-7.62511,
CENTRE DE FORMATION DES CHEFS COMPTABLES ET DES CONFIRMES ET DE GESTION (CFCO),Ecole de preparation aux examens (eomptabilite gestion),Information Technology,500 000  DHS,500 000  DHS,Liquidation,3.0,,,"20, rue allal ben abdellah - Casablanca",Casablanca,10,33.596015,-7.615715,
FELINO,"Commercialisation, distribution, représentation de vêtements et de matériels d'équipement de sport.",Commerce,10 000  DHS,10 000  DHS,En activité,0.0,,,C/9726 boulevard des far - Mohammedia (M),Casablanca,10,33.699335,-7.389384,
ESPACE PIECES ELECTRIQUE MECANIQUE AUTO (EPEMA),"Le négoce, import et export de tout produit auto, électrique et électronique.",Information Technology,10 000  DHS,10 000  DHS,En activité,3.0,,,"Hay baraka, lotissement reda 3, lot n°319, n°5, 1er étage - Casablanca",Casablanca,Casablanca-Settat,33.570984075,-7.5356352156,
MEDMA TRANS,Transport de marchandise,Transport,100 000  DHS,100 000  DHS,En activité,3.0,,,158 bd ahmed sebagh - Casablanca,Casablanca,Casablanca-Settat,33.578527,-7.589932,
OUM ERRABIA (STE) (SOER),Import-export,Other,80 000  DHS,80 000  DHS,En activité,0.0,,,46 bd zerktouni - Casablanca,Casablanca,9,33.582695,-7.6186,
FIRST ELEC NORD,Travaux tout corps d'état,Construction,10 000  DHS,10 000  DHS,En activité,0.0,,,El baida 2 gh 98 imm. 6 appt. 15 4e etg. - Casablanca,Casablanca,10,33.610869,-7.504093,
TRANS SKOURI SUD,"Entrepreneur transport de voyageurs, negociant",Transport,100 000  DHS,100 000  DHS,En activité,0.0,,,277 bd oued oum rabii el oulfa - Casablanca,Casablanca,9,33.55925,-7.67669,
CASA CAIRO,Marchand effectuant import-export,Other,62 500  DHS,62 500  DHS,Radiation,0.0,,,Hay er raja rue 2 n23 - Casablanca,Casablanca,9,33.58694440000001,-7.611111100000016,
LA SAVOURE,"Exploitant de salon de the, de boulangerie et patissier.",Information Technology,650 000  DHS,650 000  DHS,En activité,3.0,,,"433, boulevard mohamed v, etage n° 6, appt. n° 23. - Casablanca",Casablanca,Casablanca-Settat,33.590214,-7.591511,
ZANOUBIA,Tissage fabricantion de matiere plastique,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,73 bd al massira el khadra - Casablanca,Casablanca,10,33.58676,-7.637355,
RIGHT LOOK (STE),Marchand effectuant import-export,Other,200 000  DHS,200 000  DHS,En activité,3.0,,,Bd de libye val d'anfa n9 - Casablanca,Casablanca,10,33.58824,-7.6507,
ITTISSAL.COM,"La vente de tout bien de telecommunication et l'entreprise des operations d'ingenierie financiere, d'intermediation, de participation et de representation",Commerce,300 000  DHS,300 000  DHS,En activité,1.0,,,4 rue ibnou bajja - Casablanca,Casablanca,Casablanca-Settat,33.5814,-7.65738,
WARD EQUIPEMENT,Equipement de bureau,Other,20 000  DHS,20 000  DHS,En activité,0.0,,,96 rue d'agadir - Casablanca,Casablanca,9,33.58399,-7.61944,
ILYAR-HD,Negociant,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,13 rue ahmed el majjati res les a lpes etg 1 n 8 maarif - El Maarif (AR),Casablanca,9,33.58694440000001,-7.611111100000016,
STE DE CONSTRUCTION SAMBOY,"Entreprise de batiments, entrepreneur de batiments",Other,50 000  DHS,50 000  DHS,En activité,0.0,,,Rue 6 n 58 ain chifa - Casablanca,Casablanca,9,33.58437,-7.60537,
FEMME TROP CHIC,Vente des vetements confectionnes,Commerce,30 000  DHS,30 000  DHS,En activité,0.0,,,67 rue aziz bilal magazin n 13 maarif - El Maarif (AR),Casablanca,10,33.586211,-7.631882,
NEW AGENCY,Création et gestion de sites web,Information Technology,300 000  DHS,300 000  DHS,En activité,1.0,,,12 rue sabri boujemaa 1er étage appt 6 - Casablanca,Casablanca,Casablanca-Settat,33.590902,-7.606367,
J S CONFECTION,Confection,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,8 rue ibnou atir res roosvelt appt n° 4 - Casablanca,Casablanca,10,33.573245,-7.606853,
TAHA AMEUBLEMENT,Menuiserie générale,Other,10 000  DHS,10 000  DHS,En activité,0.0,,,Douar l'houami depot n 2 - Bouskoura,Casablanca,10,33.452927,-7.660775,
RYDHAT,"Tenant un bureau d'etudes, vente de materiel de tout genre, ingenierie, evenement, media et communication, l'import export.",Commerce,100 000  DHS,100 000  DHS,En activité,0.0,,,205 lot amine sidi maarouf - Casablanca,Casablanca,9,33.52482,-7.65048,
SOCIETE IMMOBILIERE SEALTY,"L'achat, la location, la prise de bail de tous immeubles",Other,100 000  DHS,100 000  DHS,En activité,0.0,,,Avenue pasteur belvedere n° 52 - Casablanca,Settat,10,33.597253,-7.594842,
AIN CAR,Location de voitures,Information Technology,100 000  DHS,100 000  DHS,En activité,2.0,,,11 rdc de la galerie familia angle rue oussama bnou zaid & ahmed joumari maârif - El Maarif (AR),Casablanca,Casablanca-Settat,33.581505,-7.634327,
MAR-ME-DINE (MAR-ME-DINE),Tenant un salon de the exploitation de boulangerie par procedes mecanique patissier vendant en detail et la creation,Information Technology,10 000  DHS,10 000  DHS,En activité,0.0,,,49 rue de soissons - Casablanca,Casablanca,9,33.59214,-7.59464,
FRIGOFIQUE MODERNE (STE) (SOFRIMO),Exploitation d'entrepot frigorifiques,Information Technology,10 000  DHS,10 000  DHS,En activité,0.0,,,477/479 bd ibn tachfine - Casablanca,Casablanca,9,33.58416,-7.57206,
ILYNA DEAL,Import - export - le négoce en général.,Other,100 000  DH,100 000  DH,Liquidation,3.0,,,"44, bd zoubeir ibnou al aouam 2ème étage appt 3 roches noires - Assoukhour Assawda (AR)",Casablanca,Casablanca-Settat,33.60001,-7.58067,
A2 PRODUCTIONS,Productions de films cinématographiques,Manufacturing,30 000  DHS,30 000  DHS,En activité,3.0,,,"11, rue aziz bellal - Casablanca",Casablanca,Casablanca-Settat,33.586211,-7.631882,
STE AIWAD CONSTRUCTION,"La société a pour objet : - l'acquisition de tous terrains et leurs exploitations par tous les moyens et leur construction en immeuble en vue de la revente ou de la location ; - la construction des propriétés résidentielles, commerciales, institutionnelles, ou industrielles ; - la construction de propriété, ou la modification de propriété existantes en conséquence ; - l'aménagement et la sous-traitance des travaux de construction ; - l'importation, l'exportation et le négoce en général de tous matériaux de construction ; - l'achat, la prise à bail de tous immeubles et toutes transactions immobilières et touristiques en général ; - et plus généralement toutes les opérations se rattachant directement ou indirectement à l'objet social de la société, ou à tout autre objet similaire ou connexe",Construction,10 000  DHS,10 000  DHS,Liquidation,0.0,,,Oulfa groupe g rue 122 n° 81 - Casablanca,Casablanca,10,33.58694440000001,-7.611111100000016,
ALACHO'S TEAM,Vente de produits cosmétiques,Commerce,10 000  DH,10 000  DH,Liquidation,3.0,,,"147, bd med smiha 2eme etg bureau n 210 - Casablanca",Casablanca,Casablanca-Settat,33.58694440000001,-7.611111100000016,
POINT MINCEUR,Centre d'amincissement exploitation de la methode (digiactions),Information Technology,100 000  DHS,100 000  DHS,En activité,3.0,,,17 rue point du jour bourgogne - Casablanca,Casablanca,Casablanca-Settat,33.59329,-7.63803,
RAAFAT CONSEIL,"Conduire des opérations de marketing, de conseil et de communication",Professional Services,50 000  DHS,50 000  DHS,En activité,3.0,,,17 place pasteur residence buils etage 6 n 5 - Casablanca,Casablanca,Casablanca-Settat,33.573825,-7.62511,
WAGAS CONSTRUCTION,Tout corps d'etat construction et équipement de bâtiment,Construction,10 000  DH,10 000  DH,En activité,3.0,,,Lotissement hind n°35 appt n°4 aïn harrouda - Ain Harrouda(M),Casablanca,Casablanca-Settat,33.635666,-7.448419,
8 EME CIEL,Import export,Other,10 000  DHS,10 000  DHS,En activité,0.0,,,"39, av lalla yacout 5eme etage appt d - Casablanca",Casablanca,10,33.5913,-7.61409,
RMT SECURITE,Sécurité nettoyage,Information Technology,10 000  DH,10 000  DH,En activité,1.0,,,95 - rue mesk ellil - beauséjour - Casablanca,Casablanca,Casablanca-Settat,33.570435,-7.649785,
ENTREPRISE BOYALA DE CONSTRUCTION D'AMENAGEMENT ET D'EQUIPEMENT (EBCAE),Construction amenagement equipement,Construction,50 000  DHS,50 000  DHS,En activité,0.0,,,Lot agence urbaine lisasfa n° 171 casa - Casablanca,Casablanca,10,33.52874,-7.67861,
MAHARAT IMPORT EXPORT,Entrepreneur de travaux de batiment,Construction,100 000  DHS,100 000  DHS,En activité,1.0,,,643 dr oulad ahmed dar bouazza - Casablanca,Casablanca,Casablanca-Settat,33.54227085,-7.70242659632,
PLONGESPACES MAGHREB,Scaphandrier marchand importateur de materiels de plongee,Other,10 000  DHS,10 000  DHS,Dissolution,0.0,,,Rue abou bakr wahrani n112 - Casablanca,Casablanca,9,33.58694440000001,-7.611111100000016,
GENERAL NETWORKS,"Télécommunication, réseaux, sécurité des systèmes d'information, technologies de l'information.",Information Technology,100 000  DH,100 000  DH,Radiation,3.0,,,59 bd. zerktouni résidence les fleurs 9ème étage appt 26 anfa - Anfa (AR),Casablanca,Casablanca-Settat,33.58694440000001,-7.611111100000016,
AIT WAKRIM,Concessionnaire service telephonique mercerie,Other,10 000  DHS,10 000  DHS,Liquidation,0.0,,,Bloc d n14 dar lamane hay mohammad - Hay Mohammadi (AR),Settat,10,33.591741,-7.554758,
REMOVE DES TRAVAUX IMMOBILIER,Construction de batiment gros ouevre-genie civil tout corps d'etat et marchand de tous materiaux de constructions,Construction,10 000  DHS,10 000  DHS,En activité,0.0,,,52 rue d'azilal n° 13 sidi belyout anfa - Casablanca,Casablanca,10,33.59329,-7.605705,
ROSA CARBONNATTES,Transport de marchandises. - exploitation de carrières ; travaux divers ; vente de produits et matériaux de construction ; import-export ; négoce ; transport,Transport,100 000  DHS,100 000  DHS,Liquidation,0.0,,,Douar laagba commune ahlaf mzab -26050 - Ben Ahmed (M),Casablanca,10,33.065703,-7.245146,
CHINOUATEX,Fabricant de vetement confectionnes,Other,100 000  DHS,100 000  DHS,Dissolution,1.0,,,Lotissement assafa rue 3 lot 29 el oulfa - Casablanca,Casablanca,Casablanca-Settat,33.58694440000001,-7.611111100000016,
MINIMOI,Import - export et vente de vetement.,Commerce,100 000  DH,100 000  DH,En activité,3.0,,,"11, rue aziz bellal boulevar zektouni 5eme étage n° 5 maârif - El Maarif (AR)",Casablanca,Casablanca-Settat,33.586211,-7.631882,
MAROCAINE DE PROMOTION DES EXPORTATIONS (STE) (PESOMA),Import-export,Other,10 000  DHS,10 000  DHS,En activité,0.0,,,625 bd mohamed v - Casablanca,Casablanca,9,33.590214,-7.591511,
POOLO SEM SCAM (STE),Import export,Other,100 000  DHS,100 000  DHS,En activité,0.0,,,Centre commercial dar bouzza n13 - Casablanca,Casablanca,9,33.533333,-7.583333,
